departure_terminal,arrival_terminal,vessel_name,scheduled_departure_year,scheduled_departure_month,scheduled_departure_day,scheduled_departure_hour,scheduled_departure_minute,actual_departure_year,actual_departure_month,actual_departure_day,actual_departure_hour,actual_departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,08,06,00,2017,07,08,06,00,2017,07,08,07,26
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,08,08,00,2017,07,08,08,09,2017,07,08,09,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,08,09,00,2017,07,08,09,01,2017,07,08,10,28
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,08,10,00,2017,07,08,10,02,2017,07,08,11,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,08,11,00,2017,07,08,11,04,2017,07,08,12,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,08,12,00,2017,07,08,12,21,2017,07,08,13,42
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,08,13,00,2017,07,08,13,07,2017,07,08,14,38
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,08,14,00,2017,07,08,14,06,2017,07,08,15,38
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,08,15,00,2017,07,08,15,02,2017,07,08,16,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,08,16,00,2017,07,08,16,06,2017,07,08,17,34
